School ID,State,Subscription End Date,Expiring Dollars,Expiring Students,Subscription Status,Renewal Date
196101,Florida,1/31/2015,2400,400,Renewed,1/7/2015
197628,Florida,1/31/2015,2400,400,Renewed,1/29/2015
190281,Florida,1/31/2015,1560,260,Renewed,11/3/2014
190587,Florida,1/31/2015,2700,450,Renewed,11/13/2014
191502,Florida,1/31/2015,4200,700,Renewed,4/6/2015
196113,Florida,1/31/2015,2400,400,Renewed,10/27/2014
196791,Florida,1/31/2015,1440,240,Renewed,2/4/2015
188331,Florida,1/31/2015,5700,950,Renewed,1/20/2015
197814,Florida,1/31/2015,2610,435,Renewed,2/10/2015
213978,Florida,1/31/2015,2154,359,Renewed,8/22/2014
220380,Alabama,1/31/2015,3600,600,Renewed,10/28/2014
230529,Alabama,1/31/2015,3930,655,Renewed,1/21/2015
231693,Alabama,1/31/2015,3300,550,Renewed,1/28/2015
220389,Alabama,1/31/2015,2550,425,Renewed,10/28/2014
229365,Alabama,1/31/2015,4800,800,Renewed,1/21/2015
230463,Alabama,1/31/2015,3528,588,Renewed,1/21/2015
232536,Alabama,1/31/2015,1632,272,Renewed,3/23/2015
232869,Alabama,1/31/2015,1488,248,Not Renewed,
227799,Alabama,1/31/2015,1860,310,Renewed,1/19/2015
227850,Alabama,1/31/2015,1860,310,Renewed,1/19/2015
229563,Alabama,1/31/2015,4050,675,Renewed,1/21/2015
229626,Alabama,1/31/2015,1968,328,Renewed,1/21/2015
232773,Alabama,1/31/2015,1470,245,Not Renewed,
236694,Alabama,1/31/2015,3090,515,Renewed,2/9/2015
236808,Alabama,1/31/2015,1440,240,Renewed,1/14/2015
227628,Alabama,1/31/2015,3900,650,Renewed,11/17/2014
227742,Alabama,1/31/2015,1710,285,Renewed,1/19/2015
227844,Alabama,1/31/2015,1800,300,Renewed,1/19/2015
227883,Alabama,1/31/2015,3000,500,Renewed,1/19/2015
229539,Alabama,1/31/2015,3210,535,Renewed,1/21/2015
229578,Alabama,1/31/2015,1440,240,Renewed,1/21/2015
232752,Alabama,1/31/2015,1506,251,Renewed,3/23/2015
236529,Alabama,1/31/2015,1440,240,Renewed,1/14/2015
237135,Alabama,1/31/2015,1440,240,Renewed,1/14/2015
241029,Alabama,1/31/2015,1770,295,Renewed,1/21/2015
232785,Alabama,1/31/2015,1680,280,Renewed,3/23/2015
236511,Alabama,1/31/2015,1440,240,Renewed,1/14/2015
236547,Alabama,1/31/2015,1440,240,Renewed,1/14/2015
239625,Alabama,1/31/2015,1620,270,Renewed,4/28/2015
239793,Alabama,1/31/2015,1440,240,Not Renewed,
247761,Tennessee,1/31/2015,2100,350,Renewed,1/12/2015
251466,Tennessee,1/31/2015,3000,500,Renewed,12/29/2014
251535,Tennessee,1/31/2015,1800,300,Renewed,6/6/2014
240933,Alabama,1/31/2015,1536,256,Renewed,1/21/2015
246471,Tennessee,1/31/2015,1440,240,Not Renewed,
251463,Tennessee,1/31/2015,1440,240,Renewed,12/23/2014
251556,Tennessee,1/31/2015,1950,325,Renewed,1/21/2015
257100,Tennessee,1/31/2015,2460,410,Renewed,1/26/2015
258663,Tennessee,1/31/2015,2232,372,Renewed,4/7/2014
266496,Mississippi,1/31/2015,2064,344,Renewed,1/6/2015
266880,Mississippi,1/31/2015,2016,336,Renewed,1/6/2015
267450,Mississippi,1/31/2015,2016,336,Renewed,1/6/2015
271305,Mississippi,1/31/2015,1560,260,Renewed,2/19/2015
272649,Mississippi,1/31/2015,3150,525,Renewed,2/23/2015
266874,Mississippi,1/31/2015,2034,339,Renewed,1/6/2015
266895,Mississippi,1/31/2015,1440,240,Renewed,1/21/2015
267441,Mississippi,1/31/2015,2016,336,Renewed,1/6/2015
271245,Mississippi,1/31/2015,1440,240,Renewed,2/19/2015
273090,Mississippi,1/31/2015,2784,464,Renewed,2/19/2015
271011,Mississippi,1/31/2015,2400,400,Renewed,1/6/2015
271695,Mississippi,1/31/2015,2100,350,Renewed,2/19/2015
278508,Mississippi,1/31/2015,2160,360,Renewed,2/26/2015
279102,Mississippi,1/31/2015,3120,520,Renewed,10/8/2014
279156,Mississippi,1/31/2015,3900,650,Renewed,1/13/2015
281742,Kentucky,1/31/2015,2700,450,Renewed,11/24/2014
279129,Mississippi,1/31/2015,3900,650,Renewed,1/13/2015
281610,Kentucky,1/31/2015,1650,275,Renewed,11/18/2014
285180,Kentucky,1/31/2015,1500,250,Not Renewed,
286944,Kentucky,1/31/2015,1440,240,Renewed,12/15/2014
284244,Kentucky,1/31/2015,3180,530,Renewed,12/12/2014
283740,Kentucky,1/31/2015,2100,350,Renewed,12/16/2014
284163,Kentucky,1/31/2015,1650,275,Not Renewed,
291750,Kentucky,1/31/2015,2280,380,Renewed,10/21/2014
293889,Kentucky,1/31/2015,1800,300,Renewed,3/24/2015
293967,Kentucky,1/31/2015,3150,525,Not Renewed,
294063,Kentucky,1/31/2015,3000,500,Renewed,3/30/2015
300333,Kentucky,1/31/2015,1986,331,Renewed,9/15/2010
300402,Kentucky,1/31/2015,1440,240,Renewed,12/23/2014
306150,Ohio,1/31/2015,1440,240,Renewed,3/9/2015
293940,Kentucky,1/31/2015,2100,350,Renewed,3/19/2015
293865,Kentucky,1/31/2015,2250,375,Renewed,3/9/2015
299946,Kentucky,1/31/2015,1920,320,Renewed,9/20/2010
300525,Kentucky,1/31/2015,4050,675,Renewed,12/23/2014
287616,Kentucky,1/31/2015,2550,425,Renewed,12/22/2014
293883,Kentucky,1/31/2015,3900,650,Renewed,12/17/2014
293922,Kentucky,1/31/2015,2028,338,Renewed,12/18/2014
293982,Kentucky,1/31/2015,1800,300,Renewed,1/13/2015
301632,Ohio,1/31/2015,1650,275,Renewed,12/9/2014
327099,Ohio,1/31/2015,2640,440,Renewed,11/4/2014
314769,Ohio,1/31/2015,1800,300,Renewed,2/4/2015
340392,Ohio,1/31/2015,2400,400,Renewed,12/2/2014
346800,Ohio,1/31/2015,1440,240,Renewed,11/11/2014
350280,Indiana,1/31/2015,2400,400,Renewed,1/29/2015
340380,Ohio,1/31/2015,2400,400,Renewed,12/2/2014
340413,Ohio,1/31/2015,2400,400,Renewed,12/2/2014
356820,Indiana,1/31/2015,2070,345,Renewed,6/20/2014
361335,Indiana,1/31/2015,1440,240,Not Renewed,
367674,Indiana,1/31/2015,1980,330,Renewed,1/12/2015
367887,Indiana,1/31/2015,1980,330,Renewed,1/12/2015
367944,Indiana,1/31/2015,1980,330,Renewed,1/12/2015
374256,Indiana,1/31/2015,1440,240,Renewed,10/16/2014
367440,Indiana,1/31/2015,1980,330,Renewed,1/12/2015
367968,Indiana,1/31/2015,1980,330,Renewed,1/12/2015
368319,Indiana,1/31/2015,1440,240,Renewed,3/19/2015
393960,Michigan,1/31/2015,2400,400,Renewed,11/19/2014
374229,Indiana,1/31/2015,2100,350,Renewed,10/16/2014
378447,Michigan,1/31/2015,1800,300,Renewed,2/10/2015
382239,Michigan,1/31/2015,1968,328,Not Renewed,
393903,Michigan,1/31/2015,2460,410,Renewed,11/19/2014
393180,Michigan,1/31/2015,2724,454,Renewed,10/27/2014
393969,Michigan,1/31/2015,2430,405,Renewed,11/19/2014
403668,Michigan,1/31/2015,1920,320,Renewed,4/29/2014
406524,Michigan,1/31/2015,2250,375,Renewed,2/3/2015
406584,Michigan,1/31/2015,1650,275,Not Renewed,
421569,Michigan,1/31/2015,1800,300,Renewed,10/22/2014
429000,Iowa,1/31/2015,2460,410,Renewed,1/19/2015
429276,Iowa,1/31/2015,1560,260,Renewed,11/20/2014
431928,Iowa,1/31/2015,2100,350,Renewed,12/16/2014
412788,Michigan,1/31/2015,2580,430,Renewed,1/20/2015
417660,Michigan,1/31/2015,1806,301,Renewed,11/21/2014
442725,Wisconsin,1/31/2015,2700,450,Renewed,10/16/2014
444534,Wisconsin,1/31/2015,1440,240,Renewed,1/26/2015
423504,Iowa,1/31/2015,1440,240,Renewed,11/7/2014
435507,Iowa,1/31/2015,1440,240,Renewed,12/10/2014
442014,Wisconsin,1/31/2015,1440,240,Renewed,12/1/2014
444498,Wisconsin,1/31/2015,2160,360,Renewed,11/20/2014
446376,Wisconsin,1/31/2015,1440,240,Renewed,10/24/2014
451143,Wisconsin,1/31/2015,1440,240,Renewed,10/27/2014
460797,Wisconsin,1/31/2015,1440,240,Renewed,12/16/2014
461892,Wisconsin,1/31/2015,1440,240,Renewed,10/20/2014
486885,Minnesota,1/31/2015,1440,240,Renewed,4/17/2015
479808,Minnesota,1/31/2015,4500,750,Renewed,1/27/2015
490983,Minnesota,1/31/2015,1440,240,Renewed,11/4/2014
500508,North Dakota,1/31/2015,1440,240,Renewed,1/13/2015
502884,North Dakota,1/31/2015,1440,240,Renewed,11/17/2014
513378,Illinois,1/31/2015,1440,240,Renewed,12/19/2014
503025,North Dakota,1/31/2015,1440,240,Renewed,11/17/2014
500475,North Dakota,1/31/2015,1440,240,Renewed,12/30/2014
500907,North Dakota,1/31/2015,2610,435,Renewed,7/31/2014
502398,North Dakota,1/31/2015,1440,240,Renewed,10/24/2014
511302,Montana,1/31/2015,1440,240,Renewed,9/16/2014
525738,Illinois,1/31/2015,2490,415,Renewed,12/2/2014
529881,Illinois,1/31/2015,2700,450,Renewed,12/9/2014
511290,Montana,1/31/2015,1440,240,Renewed,9/16/2014
511308,Montana,1/31/2015,1440,240,Renewed,9/16/2014
546876,Illinois,1/31/2015,1440,240,Not Renewed,
530049,Illinois,1/31/2015,2100,350,Renewed,10/9/2014
541239,Illinois,1/31/2015,2928,488,Renewed,1/28/2015
552777,Illinois,1/31/2015,1440,240,Renewed,10/31/2014
554868,Illinois,1/31/2015,1440,240,Renewed,1/7/2015
554886,Illinois,1/31/2015,1440,240,Renewed,1/7/2015
537858,Illinois,1/31/2015,4800,800,Renewed,2/27/2015
541569,Illinois,1/31/2015,3000,500,Renewed,1/26/2015
545880,Illinois,1/31/2015,2400,400,Renewed,2/24/2015
551742,Illinois,1/31/2015,1440,240,Renewed,5/30/2014
545553,Illinois,1/31/2015,1440,240,Renewed,12/10/2014
549357,Illinois,1/31/2015,1800,300,Renewed,12/1/2014
552603,Illinois,1/31/2015,1440,240,Renewed,10/31/2014
554022,Illinois,1/31/2015,1440,240,Renewed,12/8/2014
554880,Illinois,1/31/2015,1440,240,Renewed,1/7/2015
564870,Illinois,1/31/2015,1440,240,Renewed,11/24/2014
575886,Missouri,1/31/2015,1890,315,Renewed,10/17/2014
580824,Missouri,1/31/2015,1440,240,Renewed,12/16/2014
594609,Kansas,1/31/2015,1440,240,Renewed,1/21/2015
584751,Missouri,1/31/2015,3600,600,Renewed,10/23/2014
587745,Missouri,1/31/2015,2400,400,Renewed,11/18/2014
602547,Kansas,1/31/2015,2160,360,Renewed,11/21/2014
607398,Kansas,1/31/2015,1440,240,Renewed,1/21/2015
611823,Nebraska,1/31/2015,1728,288,Renewed,10/17/2014
611871,Nebraska,1/31/2015,1716,286,Renewed,10/17/2014
611847,Nebraska,1/31/2015,1716,286,Renewed,10/17/2014
623649,Louisiana,1/31/2015,2388,398,Not Renewed,
626040,Louisiana,1/31/2015,1440,240,Renewed,10/14/2014
619797,Nebraska,1/31/2015,1698,283,Renewed,10/30/2014
620784,Louisiana,1/31/2015,1440,240,Renewed,2/23/2015
620877,Louisiana,1/31/2015,1440,240,Renewed,1/27/2015
627060,Louisiana,1/31/2015,3300,550,Renewed,1/19/2015
619752,Nebraska,1/31/2015,1698,283,Renewed,10/30/2014
619767,Nebraska,1/31/2015,1698,283,Renewed,10/30/2014
621171,Louisiana,1/31/2015,1440,240,Renewed,10/14/2014
627267,Louisiana,1/31/2015,1440,240,Renewed,1/26/2015
627726,Louisiana,1/31/2015,1440,240,Not Renewed,
633033,Louisiana,1/31/2015,2010,335,Renewed,11/19/2014
635406,Louisiana,1/31/2015,2490,415,Renewed,6/27/2014
632559,Louisiana,1/31/2015,2400,400,Renewed,2/6/2015
639006,Louisiana,1/31/2015,1440,240,Renewed,4/27/2015
641313,Arkansas,1/31/2015,1440,240,Not Renewed,
637779,Louisiana,1/31/2015,1800,300,Renewed,10/17/2014
637896,Louisiana,1/31/2015,1440,240,Renewed,11/12/2014
638082,Louisiana,1/31/2015,2100,350,Renewed,11/10/2014
639582,Louisiana,1/31/2015,2100,350,Renewed,10/27/2014
642891,Arkansas,1/31/2015,2580,430,Renewed,10/16/2014
636426,Louisiana,1/31/2015,1440,240,Renewed,10/23/2014
638490,Louisiana,1/31/2015,4200,700,Renewed,2/4/2015
