,Affluence_Indicator,Apple_Mac_Code,Avg_Household_Income,Avg_Sell_price,Days_group,Expiring_Dollars,Expiring_Students,ID,Lunch_Program_Eligible_Students,Metro_Code,PC_Code,Poverty_Level_Code,Renew_delay,Renewal_Date,Software_budget_per_head,State,Subscription_End_Date,Subscription_Status,Title_1_Code,Training_Budget_Per_head
44,4.0,ZZ,P,7.0,4.0,1750,250,393180,0.0,S,ZZ,ZZ,-20.0,2017-01-11 00:00:00,ZZ,Michigan,2017-01-31,Renewed,ZZ,ZZ
46,1.0,F,E,7.0,4.0,2100,300,421569,164.0,R,D,C,-8.0,2017-01-23 00:00:00,E,Michigan,2017-01-31,Renewed,B,B
47,5.0,F,O,7.0,3.0,1820,260,429276,66.0,R,C,B,-35.0,2016-12-27 00:00:00,E,Iowa,2017-01-31,Renewed,A,B
49,5.0,K,K,7.0,2.0,2240,320,467055,113.0,R,F,C,-104.0,2016-10-19 00:00:00,Z,Wisconsin,2017-01-31,Renewed,D,Z
50,3.0,ZZ,J,7.0,3.0,1680,240,472992,0.0,R,ZZ,ZZ,-83.0,2016-11-09 00:00:00,ZZ,Wisconsin,2017-01-31,Renewed,ZZ,ZZ
51,3.0,ZZ,Z,7.0,2.0,1680,240,490983,0.0,ZZ,ZZ,ZZ,-109.0,2016-10-14 00:00:00,ZZ,Minnesota,2017-01-31,Renewed,ZZ,ZZ
52,3.0,K,A,7.0,3.0,1680,240,502398,199.0,R,F,D,-78.0,2016-11-14 00:00:00,F,North Dakota,2017-01-31,Renewed,D,B
53,4.0,ZZ,P,7.0,2.0,1680,240,513378,0.0,U,ZZ,ZZ,-106.0,2016-10-17 00:00:00,ZZ,Illinois,2017-01-31,Renewed,ZZ,ZZ
54,5.0,G,I,7.0,3.0,2905,415,529746,613.0,S,H,C,-62.0,2016-11-30 00:00:00,E,Illinois,2017-01-31,Renewed,C,A
55,3.0,E,O,7.0,5.0,1680,240,531762,80.0,R,D,B,9.0,2017-02-09 00:00:00,Z,Illinois,2017-01-31,Renewed,B,Z
56,4.0,J,G,7.0,1.0,7700,1100,537858,1550.0,U,J,D,-242.0,2016-06-03 00:00:00,F,Illinois,2017-01-31,Renewed,D,B
57,4.0,ZZ,P,7.0,4.0,3500,500,541569,0.0,U,ZZ,ZZ,-1.0,2017-01-30 00:00:00,ZZ,Illinois,2017-01-31,Renewed,ZZ,ZZ
60,3.0,ZZ,L,7.0,2.0,1680,240,621171,0.0,R,ZZ,ZZ,-92.0,2016-10-31 00:00:00,ZZ,Louisiana,2017-01-31,Renewed,ZZ,ZZ
61,2.0,ZZ,H,7.0,2.0,1680,240,626040,0.0,T,ZZ,ZZ,-103.0,2016-10-20 00:00:00,ZZ,Louisiana,2017-01-31,Renewed,ZZ,ZZ
62,1.0,ZZ,G,7.0,2.0,1680,240,644043,0.0,ZZ,ZZ,ZZ,-99.0,2016-10-24 00:00:00,ZZ,Arkansas,2017-01-31,Renewed,ZZ,ZZ
63,3.0,B,L,7.0,3.0,2485,355,650772,171.0,T,F,C,-46.0,2016-12-16 00:00:00,E,Oklahoma,2017-01-31,Renewed,B,C
64,3.0,K,J,7.0,4.0,2730,390,650919,114.0,R,C,C,-8.0,2017-01-23 00:00:00,E,Oklahoma,2017-01-31,Renewed,B,C
66,ZZ,ZZ,ZZ,7.0,2.0,1680,240,664074,ZZ,ZZ,ZZ,ZZ,-102.0,2016-10-21 00:00:00,ZZ,Oklahoma,2017-01-31,Renewed,ZZ,ZZ
67,2.0,K,I,7.0,2.0,3150,450,674283,304.0,T,E,C,-105.0,2016-10-18 00:00:00,E,Texas,2017-01-31,Renewed,B,C
68,2.0,K,G,7.0,4.0,1680,240,675414,75.0,U,D,C,-13.0,2017-01-18 00:00:00,G,Texas,2017-01-31,Renewed,C,D
69,4.0,K,J,7.0,3.0,2100,300,687780,155.0,R,E,C,-84.0,2016-11-08 00:00:00,E,Texas,2017-01-31,Renewed,B,C
70,4.0,A,I,7.0,3.0,3920,560,699234,399.0,T,G,C,-47.0,2016-12-15 00:00:00,G,Texas,2017-01-31,Renewed,B,D
71,3.0,A,A,7.0,4.0,5201,743,716106,599.0,S,H,D,-13.0,2017-01-18 00:00:00,G,Texas,2017-01-31,Renewed,D,E
72,ZZ,ZZ,ZZ,7.0,4.0,5201,743,716151,ZZ,ZZ,ZZ,ZZ,-13.0,2017-01-18 00:00:00,ZZ,Texas,2017-01-31,Renewed,ZZ,ZZ
73,5.0,B,Z,7.0,3.0,1680,240,722814,64.0,R,E,B,-34.0,2016-12-28 00:00:00,E,Texas,2017-01-31,Renewed,D,C
74,5.0,ZZ,Q,7.0,4.0,1680,240,734814,0.0,R,ZZ,ZZ,-22.0,2017-01-09 00:00:00,ZZ,Colorado,2017-01-31,Renewed,ZZ,ZZ
75,3.0,K,J,7.0,2.0,1680,240,740679,41.0,R,D,B,-95.0,2016-10-28 00:00:00,E,Colorado,2017-01-31,Renewed,A,C
76,ZZ,ZZ,ZZ,7.0,3.0,1680,240,746592,ZZ,ZZ,ZZ,ZZ,-47.0,2016-12-15 00:00:00,ZZ,Wyoming,2017-01-31,Renewed,ZZ,ZZ
77,1.0,ZZ,G,7.0,4.0,1680,240,749343,0.0,U,ZZ,ZZ,-14.0,2017-01-17 00:00:00,ZZ,Idaho,2017-01-31,Renewed,ZZ,ZZ
78,1.0,A,Z,7.0,5.0,1680,240,766950,127.0,R,C,C,14.0,2017-02-14 00:00:00,F,Arizona,2017-01-31,Renewed,B,D
79,4.0,J,J,7.0,6.0,6475,925,780231,520.0,U,J,C,38.0,2017-03-10 00:00:00,D,Nevada,2017-01-31,Renewed,B,A
80,2.0,J,C,7.0,5.0,3885,555,785610,1286.0,U,J,D,3.0,2017-02-03 00:00:00,D,California,2017-01-31,Renewed,D,A
81,5.0,E,N,7.0,3.0,2870,410,791832,314.0,S,C,C,-76.0,2016-11-16 00:00:00,E,California,2017-01-31,Renewed,C,D
82,2.0,F,I,7.0,2.0,2800,400,794217,441.0,S,H,C,-91.0,2016-11-01 00:00:00,D,California,2017-01-31,Renewed,C,A
83,5.0,ZZ,P,7.0,3.0,1680,240,796089,0.0,S,ZZ,ZZ,-46.0,2016-12-16 00:00:00,ZZ,California,2017-01-31,Renewed,ZZ,ZZ
84,3.0,ZZ,M,7.0,5.0,1680,240,798420,0.0,U,ZZ,ZZ,1.0,2017-02-01 00:00:00,ZZ,California,2017-01-31,Renewed,ZZ,ZZ
85,4.0,H,P,7.0,3.0,2625,375,806097,175.0,S,H,C,-50.0,2016-12-12 00:00:00,D,California,2017-01-31,Renewed,B,A
86,1.0,H,J,7.0,3.0,4655,665,806331,548.0,S,H,C,-50.0,2016-12-12 00:00:00,D,California,2017-01-31,Renewed,B,A
87,1.0,H,J,7.0,3.0,2625,375,806451,279.0,S,H,C,-50.0,2016-12-12 00:00:00,D,California,2017-01-31,Renewed,B,A
88,4.0,H,Q,7.0,2.0,4550,650,806583,210.0,S,H,C,-111.0,2016-10-12 00:00:00,D,California,2017-01-31,Renewed,B,A
89,2.0,ZZ,J,7.0,3.0,1680,240,809451,0.0,S,ZZ,ZZ,-50.0,2016-12-12 00:00:00,ZZ,California,2017-01-31,Renewed,ZZ,ZZ
90,3.0,H,M,7.0,3.0,2065,295,812058,394.0,U,H,C,-50.0,2016-12-12 00:00:00,D,California,2017-01-31,Renewed,B,A
91,4.0,H,Q,7.0,2.0,7070,1010,818874,103.0,ZZ,H,B,-99.0,2016-10-24 00:00:00,D,California,2017-01-31,Renewed,A,A
92,5.0,H,N,7.0,5.0,3500,500,819501,506.0,S,E,C,20.0,2017-02-20 00:00:00,D,California,2017-01-31,Renewed,B,A
