,Affluence_Indicator,Apple_Mac_Code,Avg_Household_Income,Avg_Sell_price,Days_group,Expiring_Dollars,Expiring_Students,ID,Lunch_Program_Eligible_Students,Metro_Code,PC_Code,Poverty_Level_Code,Renew_delay,Renewal_Date,Software_budget_per_head,State,Subscription_End_Date,Subscription_Status,Title_1_Code,Training_Budget_Per_head
8556,5.0,D,P,8.0,3.0,1920,240,2128251,33.0,R,C,B,-31.0,2017-06-30 00:00:00,E,North Dakota,2017-07-31,Renewed,B,B
8574,2.0,ZZ,I,8.0,3.0,1920,240,2227077,0.0,T,ZZ,ZZ,-32.0,2017-06-29 00:00:00,ZZ,Tennessee,2017-07-31,Renewed,ZZ,ZZ
8580,1.0,ZZ,D,8.0,3.0,1920,240,2230404,0.0,R,ZZ,ZZ,-32.0,2017-06-29 00:00:00,ZZ,Alabama,2017-07-31,Renewed,ZZ,ZZ
8591,4.0,E,P,8.0,3.0,7200,900,2757510,184.0,S,H,B,-45.0,2017-06-16 00:00:00,H,Alabama,2017-07-31,Renewed,A,D
8605,ZZ,ZZ,ZZ,8.0,4.0,3976,497,3327222,ZZ,ZZ,ZZ,ZZ,-28.0,2017-07-03 00:00:00,ZZ,California,2017-07-31,Renewed,ZZ,ZZ
8606,4.0,E,G,8.0,3.0,3200,400,3271542,268.0,S,C,D,-67.0,2017-05-25 00:00:00,F,Illinois,2017-07-31,Renewed,D,C
8611,1.0,A,J,8.0,3.0,2080,260,2143284,145.0,R,F,C,-47.0,2017-06-14 00:00:00,E,Michigan,2017-07-31,Renewed,B,B
8613,ZZ,ZZ,ZZ,8.0,2.0,1920,240,2141376,ZZ,ZZ,ZZ,ZZ,-102.0,2017-04-20 00:00:00,ZZ,Illinois,2017-07-31,Renewed,ZZ,ZZ
8614,2.0,B,F,8.0,3.0,1920,240,2141682,47.0,R,C,C,-49.0,2017-06-12 00:00:00,E,Nebraska,2017-07-31,Renewed,B,B
8615,1.0,C,F,8.0,3.0,1920,240,2141964,91.0,R,E,C,-62.0,2017-05-30 00:00:00,Z,Missouri,2017-07-31,Renewed,B,Z
8616,1.0,ZZ,Z,8.0,3.0,1920,240,2218557,0.0,U,ZZ,ZZ,-33.0,2017-06-28 00:00:00,ZZ,Arkansas,2017-07-31,Renewed,ZZ,ZZ
8622,2.0,C,A,8.0,4.0,1920,240,2134929,110.0,R,D,D,-28.0,2017-07-03 00:00:00,E,New Mexico,2017-07-31,Renewed,D,C
8624,1.0,C,F,8.0,4.0,1920,240,2133243,212.0,T,A,C,-28.0,2017-07-03 00:00:00,E,Oklahoma,2017-07-31,Renewed,A,C
8626,ZZ,ZZ,ZZ,8.0,1.0,1944,243,2137191,ZZ,ZZ,ZZ,ZZ,-340.0,2016-08-25 00:00:00,ZZ,Pennsylvania,2017-07-31,Renewed,ZZ,ZZ
8629,4.0,C,B,8.0,3.0,1920,240,2135946,50.0,R,D,D,-41.0,2017-06-20 00:00:00,E,Washington,2017-07-31,Renewed,D,C
8635,4.0,C,M,8.0,3.0,1920,240,2140152,13.0,R,E,C,-42.0,2017-06-19 00:00:00,E,South Dakota,2017-07-31,Renewed,C,B
8637,3.0,E,L,8.0,3.0,6080,760,2138664,79.0,R,G,B,-38.0,2017-06-23 00:00:00,E,Indiana,2017-07-31,Renewed,A,B
8639,4.0,F,N,8.0,3.0,6000,750,2140266,77.0,R,C,A,-35.0,2017-06-26 00:00:00,E,North Dakota,2017-07-31,Renewed,A,B
8647,ZZ,ZZ,ZZ,8.0,4.0,9896,1237,4600992,ZZ,ZZ,ZZ,ZZ,-28.0,2017-07-03 00:00:00,ZZ,California,2017-07-31,Renewed,ZZ,ZZ
8652,ZZ,ZZ,ZZ,8.0,3.0,1920,240,4463349,ZZ,ZZ,ZZ,ZZ,-38.0,2017-06-23 00:00:00,ZZ,North Dakota,2017-07-31,Renewed,ZZ,ZZ
8653,ZZ,ZZ,ZZ,8.0,3.0,1920,240,4493283,ZZ,ZZ,ZZ,ZZ,-33.0,2017-06-28 00:00:00,ZZ,Oklahoma,2017-07-31,Renewed,ZZ,ZZ
8654,3.0,G,L,8.0,3.0,4160,520,4508718,187.0,S,H,B,-67.0,2017-05-25 00:00:00,G,Missouri,2017-07-31,Renewed,B,C
8663,ZZ,ZZ,ZZ,8.0,2.0,3360,420,4902231,ZZ,ZZ,ZZ,ZZ,-91.0,2017-05-01 00:00:00,ZZ,Florida,2017-07-31,Renewed,ZZ,ZZ
8666,ZZ,ZZ,ZZ,8.0,1.0,3880,485,4951620,ZZ,ZZ,ZZ,ZZ,-160.0,2017-02-21 00:00:00,ZZ,Nebraska,2017-07-31,Renewed,ZZ,ZZ
8667,ZZ,ZZ,ZZ,8.0,3.0,1920,240,4933425,ZZ,ZZ,ZZ,ZZ,-55.0,2017-06-06 00:00:00,ZZ,California,2017-07-31,Renewed,ZZ,ZZ
8669,ZZ,ZZ,ZZ,8.0,4.0,4800,600,5126076,ZZ,ZZ,ZZ,ZZ,-28.0,2017-07-03 00:00:00,ZZ,Minnesota,2017-07-31,Renewed,ZZ,ZZ
8673,ZZ,ZZ,ZZ,8.0,3.0,5240,655,5091036,ZZ,ZZ,ZZ,ZZ,-31.0,2017-06-30 00:00:00,ZZ,California,2017-07-31,Renewed,ZZ,ZZ
8678,ZZ,ZZ,ZZ,8.0,4.0,4208,526,5042343,ZZ,ZZ,ZZ,ZZ,-28.0,2017-07-03 00:00:00,ZZ,Florida,2017-07-31,Renewed,ZZ,ZZ
8679,ZZ,ZZ,ZZ,8.0,3.0,2160,270,5049246,ZZ,ZZ,ZZ,ZZ,-33.0,2017-06-28 00:00:00,ZZ,Indiana,2017-07-31,Renewed,ZZ,ZZ
8684,ZZ,ZZ,ZZ,8.0,3.0,4448,556,5629221,ZZ,ZZ,ZZ,ZZ,-60.0,2017-06-01 00:00:00,ZZ,Georgia,2017-07-31,Renewed,ZZ,ZZ
8685,ZZ,ZZ,ZZ,8.0,4.0,6320,790,5580528,ZZ,ZZ,ZZ,ZZ,-28.0,2017-07-03 00:00:00,ZZ,California,2017-07-31,Renewed,ZZ,ZZ
8687,ZZ,ZZ,ZZ,8.0,3.0,4800,600,5180151,ZZ,ZZ,ZZ,ZZ,-34.0,2017-06-27 00:00:00,ZZ,Colorado,2017-07-31,Renewed,ZZ,ZZ
8693,ZZ,ZZ,ZZ,8.0,3.0,4800,600,4096599,ZZ,ZZ,ZZ,ZZ,-70.0,2017-05-22 00:00:00,ZZ,Florida,2017-07-31,Renewed,ZZ,ZZ
8694,ZZ,ZZ,ZZ,8.0,2.0,4000,500,4097043,ZZ,ZZ,ZZ,ZZ,-102.0,2017-04-20 00:00:00,ZZ,Arizona,2017-07-31,Renewed,ZZ,ZZ
8695,ZZ,ZZ,ZZ,8.0,3.0,2720,340,4103949,ZZ,ZZ,ZZ,ZZ,-48.0,2017-06-13 00:00:00,ZZ,Indiana,2017-07-31,Renewed,ZZ,ZZ
8697,ZZ,ZZ,ZZ,8.0,2.0,5600,700,4008729,ZZ,ZZ,ZZ,ZZ,-119.0,2017-04-03 00:00:00,ZZ,New Mexico,2017-07-31,Renewed,ZZ,ZZ
8704,ZZ,ZZ,ZZ,8.0,3.0,1920,240,4346742,ZZ,ZZ,ZZ,ZZ,-60.0,2017-06-01 00:00:00,ZZ,Minnesota,2017-07-31,Renewed,ZZ,ZZ
8708,ZZ,ZZ,ZZ,8.0,2.0,1920,240,4131210,ZZ,ZZ,ZZ,ZZ,-105.0,2017-04-17 00:00:00,ZZ,Texas,2017-07-31,Renewed,ZZ,ZZ
8712,3.0,G,E,8.0,3.0,6040,755,3717735,586.0,T,H,D,-45.0,2017-06-16 00:00:00,G,Texas,2017-07-31,Renewed,C,D
8715,4.0,E,K,8.0,3.0,2600,325,3454086,227.0,S,D,C,-32.0,2017-06-29 00:00:00,G,Illinois,2017-07-31,Renewed,B,C
8721,3.0,K,P,8.0,3.0,3400,425,3566547,66.0,S,F,B,-39.0,2017-06-22 00:00:00,E,Washington,2017-07-31,Renewed,A,C
8724,4.0,H,L,8.0,1.0,4000,500,3558189,625.0,U,H,C,-355.0,2016-08-10 00:00:00,D,California,2017-07-31,Renewed,B,A
8725,1.0,ZZ,C,8.0,3.0,1920,240,3729750,0.0,U,ZZ,ZZ,-35.0,2017-06-26 00:00:00,ZZ,Alabama,2017-07-31,Renewed,ZZ,ZZ
8727,1.0,H,C,8.0,3.0,4360,545,3771765,259.0,U,H,C,-48.0,2017-06-13 00:00:00,D,Colorado,2017-07-31,Renewed,C,A
8729,1.0,D,E,8.0,3.0,4480,560,3833175,437.0,R,G,C,-82.0,2017-05-10 00:00:00,G,Missouri,2017-07-31,Renewed,B,C
8730,2.0,D,L,8.0,3.0,2400,300,3845790,283.0,ZZ,H,B,-89.0,2017-05-03 00:00:00,E,Indiana,2017-07-31,Renewed,A,A
8731,5.0,D,Q,8.0,3.0,5200,650,3910566,27.0,S,H,B,-52.0,2017-06-09 00:00:00,G,Indiana,2017-07-31,Renewed,A,C
8732,ZZ,ZZ,ZZ,8.0,3.0,2960,370,3873093,ZZ,ZZ,ZZ,ZZ,-76.0,2017-05-16 00:00:00,ZZ,California,2017-07-31,Renewed,ZZ,ZZ
8737,ZZ,ZZ,ZZ,8.0,3.0,4504,563,3622071,ZZ,ZZ,ZZ,ZZ,-60.0,2017-06-01 00:00:00,ZZ,Georgia,2017-07-31,Renewed,ZZ,ZZ
8739,ZZ,ZZ,ZZ,8.0,3.0,6640,830,5668422,ZZ,ZZ,ZZ,ZZ,-45.0,2017-06-16 00:00:00,ZZ,Alabama,2017-07-31,Renewed,ZZ,ZZ
8748,ZZ,ZZ,ZZ,8.0,3.0,2000,250,6062196,ZZ,ZZ,ZZ,ZZ,-42.0,2017-06-19 00:00:00,ZZ,California,2017-07-31,Renewed,ZZ,ZZ
8752,1.0,ZZ,H,8.0,3.0,1920,240,6896067,0.0,U,ZZ,ZZ,-84.0,2017-05-08 00:00:00,ZZ,California,2017-07-31,Renewed,ZZ,ZZ
8763,4.0,F,O,8.0,3.0,5200,650,6514470,186.0,U,H,C,-69.0,2017-05-23 00:00:00,D,Washington,2017-07-31,Renewed,B,A
8766,ZZ,ZZ,ZZ,8.0,1.0,3264,408,6580953,ZZ,ZZ,ZZ,ZZ,-361.0,2016-08-04 00:00:00,ZZ,Virginia,2017-07-31,Renewed,ZZ,ZZ
8772,ZZ,ZZ,ZZ,8.0,1.0,4960,620,6210450,ZZ,ZZ,ZZ,ZZ,-355.0,2016-08-10 00:00:00,ZZ,California,2017-07-31,Renewed,ZZ,ZZ
8778,ZZ,ZZ,ZZ,8.0,3.0,4448,556,7044234,ZZ,ZZ,ZZ,ZZ,-60.0,2017-06-01 00:00:00,ZZ,Georgia,2017-07-31,Renewed,ZZ,ZZ
8789,5.0,J,N,8.0,3.0,7280,910,7940754,84.0,U,J,C,-77.0,2017-05-15 00:00:00,D,Nevada,2017-07-31,Renewed,B,A
8790,1.0,K,F,8.0,11.0,2344,293,7944975,247.0,R,G,C,-1685.0,2012-12-19 00:00:00,G,Georgia,2017-07-31,Renewed,B,D
8791,ZZ,ZZ,ZZ,8.0,4.0,3000,375,7933695,ZZ,ZZ,ZZ,ZZ,-28.0,2017-07-03 00:00:00,ZZ,Florida,2017-07-31,Renewed,ZZ,ZZ
8795,3.0,D,N,8.0,3.0,4448,556,7881597,270.0,R,H,C,-60.0,2017-06-01 00:00:00,G,Georgia,2017-07-31,Renewed,B,E
8800,2.0,K,K,8.0,3.0,2920,365,7814433,89.0,R,G,B,-35.0,2017-06-26 00:00:00,G,Indiana,2017-07-31,Renewed,A,C
8806,ZZ,ZZ,ZZ,8.0,2.0,2480,310,7508562,ZZ,ZZ,ZZ,ZZ,-110.0,2017-04-12 00:00:00,ZZ,Ohio,2017-07-31,Renewed,ZZ,ZZ
8820,ZZ,ZZ,ZZ,8.0,3.0,2720,340,10410120,ZZ,ZZ,ZZ,ZZ,-54.0,2017-06-07 00:00:00,ZZ,District of Columbia,2017-07-31,Renewed,ZZ,ZZ
8824,ZZ,ZZ,ZZ,8.0,3.0,4576,572,10324827,ZZ,ZZ,ZZ,ZZ,-45.0,2017-06-16 00:00:00,ZZ,California,2017-07-31,Renewed,ZZ,ZZ
8826,ZZ,ZZ,ZZ,8.0,1.0,4480,560,10357656,ZZ,ZZ,ZZ,ZZ,-160.0,2017-02-21 00:00:00,ZZ,Nebraska,2017-07-31,Renewed,ZZ,ZZ
8827,ZZ,ZZ,ZZ,8.0,3.0,6400,800,11347674,ZZ,ZZ,ZZ,ZZ,-32.0,2017-06-29 00:00:00,ZZ,Florida,2017-07-31,Renewed,ZZ,ZZ
8845,1.0,K,B,8.0,2.0,4320,540,9773496,450.0,S,K,D,-116.0,2017-04-06 00:00:00,Z,Alabama,2017-07-31,Renewed,D,Z
8850,2.0,ZZ,E,8.0,3.0,5040,630,9340566,0.0,U,ZZ,ZZ,-59.0,2017-06-02 00:00:00,ZZ,Nevada,2017-07-31,Renewed,ZZ,ZZ
8851,ZZ,ZZ,ZZ,8.0,4.0,3000,375,9317712,ZZ,ZZ,ZZ,ZZ,-28.0,2017-07-03 00:00:00,ZZ,Georgia,2017-07-31,Renewed,ZZ,ZZ
8852,ZZ,ZZ,ZZ,8.0,3.0,2400,300,9383127,ZZ,ZZ,ZZ,ZZ,-41.0,2017-06-20 00:00:00,ZZ,Missouri,2017-07-31,Renewed,ZZ,ZZ
8857,4.0,K,L,8.0,1.0,3408,426,9718728,118.0,U,K,C,-171.0,2017-02-10 00:00:00,Z,Louisiana,2017-07-31,Renewed,B,Z
8859,ZZ,ZZ,ZZ,8.0,3.0,3736,467,9284382,ZZ,ZZ,ZZ,ZZ,-80.0,2017-05-12 00:00:00,ZZ,Kansas,2017-07-31,Renewed,ZZ,ZZ
8861,4.0,H,I,8.0,3.0,3552,444,9028728,444.0,T,F,C,-48.0,2017-06-13 00:00:00,H,Texas,2017-07-31,Renewed,B,E
8862,3.0,K,K,8.0,3.0,2880,360,9143169,59.0,R,D,B,-46.0,2017-06-15 00:00:00,E,Illinois,2017-07-31,Renewed,B,B
8888,4.0,ZZ,M,8.0,4.0,2880,360,205371,0.0,U,ZZ,ZZ,-28.0,2017-07-03 00:00:00,ZZ,Florida,2017-07-31,Renewed,ZZ,ZZ
8889,5.0,ZZ,Q,8.0,3.0,3600,450,207327,0.0,U,ZZ,ZZ,-77.0,2017-05-15 00:00:00,ZZ,Florida,2017-07-31,Renewed,ZZ,ZZ
8890,2.0,ZZ,G,8.0,3.0,1920,240,207894,0.0,S,ZZ,ZZ,-80.0,2017-05-12 00:00:00,ZZ,Florida,2017-07-31,Renewed,ZZ,ZZ
8900,4.0,J,O,8.0,3.0,5224,653,199044,196.0,U,J,C,-49.0,2017-06-12 00:00:00,G,Florida,2017-07-31,Renewed,B,E
8902,1.0,J,I,8.0,3.0,4880,610,199728,545.0,U,J,C,-81.0,2017-05-11 00:00:00,G,Florida,2017-07-31,Renewed,B,E
8907,2.0,ZZ,I,8.0,3.0,2760,345,200760,0.0,S,ZZ,ZZ,-34.0,2017-06-27 00:00:00,ZZ,Florida,2017-07-31,Renewed,ZZ,ZZ
8908,1.0,J,E,8.0,3.0,7096,887,198258,844.0,S,J,C,-76.0,2017-05-16 00:00:00,G,Florida,2017-07-31,Renewed,C,E
8912,1.0,J,H,8.0,3.0,3840,480,194916,451.0,S,J,C,-35.0,2017-06-26 00:00:00,G,Florida,2017-07-31,Renewed,B,E
8934,1.0,G,C,8.0,4.0,4208,526,192087,570.0,U,H,C,-28.0,2017-07-03 00:00:00,G,Florida,2017-07-31,Renewed,B,E
8936,2.0,G,L,8.0,4.0,4208,526,192264,376.0,S,H,C,-28.0,2017-07-03 00:00:00,G,Florida,2017-07-31,Renewed,B,E
8938,3.0,J,K,8.0,2.0,4800,600,193275,497.0,S,J,C,-96.0,2017-04-26 00:00:00,G,Florida,2017-07-31,Renewed,B,E
8939,3.0,J,N,8.0,3.0,8000,1000,193530,196.0,S,J,C,-59.0,2017-06-02 00:00:00,G,Florida,2017-07-31,Renewed,B,E
8940,1.0,G,C,8.0,4.0,4208,526,191727,656.0,T,H,C,-28.0,2017-07-03 00:00:00,G,Florida,2017-07-31,Renewed,B,E
8946,3.0,ZZ,L,8.0,3.0,5200,650,171912,0.0,ZZ,ZZ,ZZ,-84.0,2017-05-08 00:00:00,ZZ,Georgia,2017-07-31,Renewed,ZZ,ZZ
8950,1.0,K,B,8.0,11.0,2216,277,169662,186.0,R,G,C,-1685.0,2012-12-19 00:00:00,G,Georgia,2017-07-31,Renewed,B,D
8956,3.0,C,O,8.0,3.0,5000,625,167334,253.0,R,H,B,-56.0,2017-06-05 00:00:00,G,Georgia,2017-07-31,Renewed,A,D
8963,2.0,C,B,8.0,3.0,4912,614,175572,332.0,T,G,D,-55.0,2017-06-06 00:00:00,G,Florida,2017-07-31,Renewed,C,D
8968,4.0,ZZ,N,8.0,3.0,1920,240,179496,0.0,U,ZZ,ZZ,-82.0,2017-05-10 00:00:00,ZZ,Florida,2017-07-31,Renewed,ZZ,ZZ
8969,2.0,ZZ,J,8.0,2.0,2400,300,179667,0.0,U,ZZ,ZZ,-91.0,2017-05-01 00:00:00,ZZ,Florida,2017-07-31,Renewed,ZZ,ZZ
8972,3.0,D,O,8.0,4.0,2280,285,160077,142.0,R,H,B,-28.0,2017-07-03 00:00:00,G,Georgia,2017-07-31,Renewed,A,D
8973,1.0,K,D,8.0,3.0,4400,550,161607,337.0,T,H,D,-54.0,2017-06-07 00:00:00,E,Georgia,2017-07-31,Renewed,B,C
8978,3.0,D,N,8.0,3.0,4448,556,151494,268.0,R,H,C,-60.0,2017-06-01 00:00:00,G,Georgia,2017-07-31,Renewed,B,E
8982,1.0,ZZ,A,8.0,2.0,1920,240,156804,0.0,ZZ,ZZ,ZZ,-105.0,2017-04-17 00:00:00,ZZ,Georgia,2017-07-31,Renewed,ZZ,ZZ
8987,4.0,B,E,8.0,3.0,4200,525,232623,337.0,R,F,D,-62.0,2017-05-30 00:00:00,E,Alabama,2017-07-31,Renewed,C,C
8989,1.0,K,G,8.0,3.0,3920,490,231918,233.0,ZZ,F,C,-33.0,2017-06-28 00:00:00,E,Alabama,2017-07-31,Renewed,B,C
8990,3.0,B,C,8.0,3.0,3072,384,232254,377.0,R,F,D,-62.0,2017-05-30 00:00:00,E,Alabama,2017-07-31,Renewed,C,C
8991,2.0,E,J,8.0,3.0,4800,600,236019,266.0,T,H,C,-69.0,2017-05-23 00:00:00,G,Alabama,2017-07-31,Renewed,B,D
8992,1.0,K,G,8.0,3.0,2320,290,236676,324.0,R,F,C,-54.0,2017-06-07 00:00:00,G,Alabama,2017-07-31,Renewed,B,D
8993,2.0,A,C,8.0,3.0,4080,510,236751,444.0,T,H,D,-49.0,2017-06-12 00:00:00,G,Alabama,2017-07-31,Renewed,C,D
8994,2.0,A,F,8.0,3.0,3120,390,236832,252.0,T,H,D,-39.0,2017-06-22 00:00:00,G,Alabama,2017-07-31,Renewed,C,D
8996,1.0,K,D,8.0,3.0,2136,267,237126,182.0,R,F,C,-54.0,2017-06-07 00:00:00,G,Alabama,2017-07-31,Renewed,B,D
8997,1.0,ZZ,B,8.0,3.0,1920,240,237183,0.0,T,ZZ,ZZ,-35.0,2017-06-26 00:00:00,ZZ,Alabama,2017-07-31,Renewed,ZZ,ZZ
9009,1.0,D,J,8.0,3.0,4400,550,229101,385.0,R,H,C,-34.0,2017-06-27 00:00:00,G,Alabama,2017-07-31,Renewed,B,D
9010,1.0,D,I,8.0,3.0,2320,290,229422,244.0,R,H,C,-82.0,2017-05-10 00:00:00,G,Alabama,2017-07-31,Renewed,B,D
9014,2.0,D,D,8.0,3.0,2080,260,222960,183.0,R,G,C,-38.0,2017-06-23 00:00:00,G,Alabama,2017-07-31,Renewed,C,D
9016,1.0,B,E,8.0,3.0,5200,650,220323,483.0,T,F,D,-52.0,2017-06-09 00:00:00,G,Alabama,2017-07-31,Renewed,C,D
9031,2.0,I,N,8.0,2.0,5600,700,261483,649.0,S,G,ZZ,-123.0,2017-03-30 00:00:00,G,Tennessee,2017-07-31,Renewed,A,E
9033,1.0,ZZ,D,8.0,3.0,3480,435,260205,0.0,U,ZZ,ZZ,-31.0,2017-06-30 00:00:00,ZZ,Tennessee,2017-07-31,Renewed,ZZ,ZZ
9035,1.0,D,C,8.0,3.0,1920,240,258570,205.0,R,G,C,-41.0,2017-06-20 00:00:00,G,Tennessee,2017-07-31,Renewed,C,D
9037,3.0,ZZ,L,8.0,2.0,1920,240,258747,0.0,S,ZZ,ZZ,-94.0,2017-04-28 00:00:00,ZZ,Tennessee,2017-07-31,Renewed,ZZ,ZZ
9040,1.0,A,D,8.0,3.0,1984,248,253614,149.0,T,H,C,-56.0,2017-06-05 00:00:00,H,Tennessee,2017-07-31,Renewed,B,E
9056,1.0,ZZ,A,8.0,3.0,1920,240,239964,0.0,R,ZZ,ZZ,-70.0,2017-05-22 00:00:00,ZZ,Alabama,2017-07-31,Renewed,ZZ,ZZ
9058,1.0,ZZ,C,8.0,3.0,1920,240,240150,0.0,R,ZZ,ZZ,-35.0,2017-06-26 00:00:00,ZZ,Alabama,2017-07-31,Renewed,ZZ,ZZ
9068,2.0,K,G,8.0,3.0,2496,312,240570,314.0,U,H,D,-52.0,2017-06-09 00:00:00,H,Alabama,2017-07-31,Renewed,C,E
9070,2.0,G,J,8.0,11.0,3600,450,245565,398.0,ZZ,G,C,-481.0,2016-04-06 00:00:00,G,Tennessee,2017-07-31,Renewed,B,D
9074,2.0,G,L,8.0,3.0,4400,550,243261,377.0,S,G,C,-68.0,2017-05-24 00:00:00,G,Tennessee,2017-07-31,Renewed,B,D
9084,3.0,I,J,8.0,2.0,1920,240,247332,258.0,U,H,C,-109.0,2017-04-13 00:00:00,G,Tennessee,2017-07-31,Renewed,C,E
9085,1.0,A,H,8.0,2.0,2720,340,249543,175.0,T,G,C,-111.0,2017-04-11 00:00:00,G,Tennessee,2017-07-31,Renewed,B,D
9088,3.0,H,L,8.0,2.0,2760,345,108966,146.0,U,J,C,-102.0,2017-04-20 00:00:00,G,North Carolina,2017-07-31,Renewed,C,E
9092,4.0,E,J,8.0,3.0,2336,292,101784,0.0,R,H,C,-77.0,2017-05-15 00:00:00,G,West Virginia,2017-07-31,Renewed,C,D
9093,3.0,E,G,8.0,3.0,2336,292,101823,0.0,R,H,C,-77.0,2017-05-15 00:00:00,G,West Virginia,2017-07-31,Renewed,C,D
9094,2.0,E,Z,8.0,3.0,2336,292,101985,0.0,ZZ,H,C,-77.0,2017-05-15 00:00:00,G,West Virginia,2017-07-31,Renewed,C,D
9107,2.0,E,J,8.0,2.0,1920,240,99714,205.0,R,G,C,-137.0,2017-03-16 00:00:00,G,Virginia,2017-07-31,Renewed,B,D
9111,ZZ,ZZ,ZZ,8.0,2.0,3984,498,97959,ZZ,ZZ,ZZ,ZZ,-98.0,2017-04-24 00:00:00,ZZ,Virginia,2017-07-31,Renewed,ZZ,ZZ
9112,2.0,B,D,8.0,3.0,2960,370,98214,238.0,R,F,C,-83.0,2017-05-09 00:00:00,E,Virginia,2017-07-31,Renewed,C,C
9117,4.0,E,F,8.0,3.0,4480,560,99825,525.0,T,H,D,-80.0,2017-05-12 00:00:00,G,Virginia,2017-07-31,Renewed,D,D
9118,1.0,ZZ,C,8.0,2.0,1920,240,99873,0.0,T,ZZ,ZZ,-105.0,2017-04-17 00:00:00,ZZ,Virginia,2017-07-31,Renewed,ZZ,ZZ
9120,1.0,E,I,8.0,2.0,1920,240,99945,367.0,S,G,C,-137.0,2017-03-16 00:00:00,G,Virginia,2017-07-31,Renewed,B,D
9121,1.0,D,B,8.0,3.0,1920,240,100011,119.0,R,H,C,-76.0,2017-05-16 00:00:00,G,Virginia,2017-07-31,Renewed,B,D
9122,2.0,E,E,8.0,3.0,2336,292,101628,0.0,U,H,C,-77.0,2017-05-15 00:00:00,G,West Virginia,2017-07-31,Renewed,C,D
9123,2.0,E,E,8.0,3.0,2536,317,101658,0.0,U,H,C,-77.0,2017-05-15 00:00:00,G,West Virginia,2017-07-31,Renewed,C,D
9124,3.0,E,G,8.0,3.0,2336,292,101697,0.0,S,H,C,-77.0,2017-05-15 00:00:00,G,West Virginia,2017-07-31,Renewed,C,D
9125,3.0,K,K,8.0,11.0,2200,275,115914,103.0,R,H,C,-747.0,2015-07-15 00:00:00,G,North Carolina,2017-07-31,Renewed,B,D
9126,ZZ,ZZ,ZZ,8.0,11.0,2200,275,116013,ZZ,ZZ,ZZ,ZZ,-747.0,2015-07-15 00:00:00,ZZ,North Carolina,2017-07-31,Renewed,ZZ,ZZ
9128,2.0,ZZ,H,8.0,3.0,1920,240,121089,0.0,U,ZZ,ZZ,-55.0,2017-06-06 00:00:00,ZZ,North Carolina,2017-07-31,Renewed,ZZ,ZZ
9138,1.0,H,E,8.0,1.0,5760,720,147654,642.0,ZZ,J,C,-221.0,2016-12-22 00:00:00,G,Georgia,2017-07-31,Renewed,B,E
9140,3.0,H,O,8.0,3.0,4400,550,147978,83.0,U,J,C,-74.0,2017-05-18 00:00:00,G,Georgia,2017-07-31,Renewed,B,E
9143,1.0,D,E,8.0,3.0,4448,556,149910,477.0,S,H,C,-60.0,2017-06-01 00:00:00,G,Georgia,2017-07-31,Renewed,B,E
9144,1.0,D,H,8.0,3.0,4448,556,150354,490.0,S,H,C,-60.0,2017-06-01 00:00:00,G,Georgia,2017-07-31,Renewed,B,E
9145,1.0,D,E,8.0,3.0,4448,556,150411,571.0,S,H,C,-60.0,2017-06-01 00:00:00,G,Georgia,2017-07-31,Renewed,B,E
9147,2.0,D,M,8.0,3.0,4448,556,150498,144.0,S,H,C,-60.0,2017-06-01 00:00:00,G,Georgia,2017-07-31,Renewed,B,E
9156,1.0,D,E,8.0,3.0,4448,556,147378,382.0,S,H,C,-60.0,2017-06-01 00:00:00,G,Georgia,2017-07-31,Renewed,B,E
9162,1.0,ZZ,E,8.0,2.0,1920,240,144042,0.0,S,ZZ,ZZ,-98.0,2017-04-24 00:00:00,ZZ,South Carolina,2017-07-31,Renewed,ZZ,ZZ
9165,2.0,ZZ,J,8.0,2.0,1920,240,136350,0.0,S,ZZ,ZZ,-105.0,2017-04-17 00:00:00,ZZ,South Carolina,2017-07-31,Renewed,ZZ,ZZ
9167,1.0,ZZ,C,8.0,3.0,3040,380,132072,0.0,T,ZZ,ZZ,-70.0,2017-05-22 00:00:00,ZZ,South Carolina,2017-07-31,Renewed,ZZ,ZZ
9168,3.0,ZZ,K,8.0,2.0,1920,240,134607,0.0,S,ZZ,ZZ,-96.0,2017-04-26 00:00:00,ZZ,South Carolina,2017-07-31,Renewed,ZZ,ZZ
9184,4.0,F,J,8.0,1.0,1952,244,74379,120.0,R,F,C,-340.0,2016-08-25 00:00:00,H,Pennsylvania,2017-07-31,Renewed,C,G
9191,2.0,G,I,8.0,3.0,2600,325,75822,120.0,R,B,B,-45.0,2017-06-16 00:00:00,B,Pennsylvania,2017-07-31,Renewed,B,A
9192,3.0,D,K,8.0,4.0,2440,305,75924,192.0,R,E,B,-26.0,2017-07-05 00:00:00,H,Pennsylvania,2017-07-31,Renewed,B,G
9193,5.0,G,G,8.0,2.0,6000,750,76017,751.0,U,H,D,-136.0,2017-03-17 00:00:00,G,Pennsylvania,2017-07-31,Renewed,D,H
9194,3.0,D,L,8.0,4.0,2600,325,76110,154.0,R,E,B,-26.0,2017-07-05 00:00:00,H,Pennsylvania,2017-07-31,Renewed,B,G
9203,1.0,ZZ,Z,8.0,4.0,1920,240,92175,0.0,U,ZZ,ZZ,-26.0,2017-07-05 00:00:00,ZZ,Maryland,2017-07-31,Renewed,ZZ,ZZ
